Country;Health Expenditure;Under-five mortality rate;Life expectancy at birth;Health index;Expected Years of Schooling;Mean years of schooling;Education index;GDP per capita;GNI per capita;Income index;Loss due to inequality in life expectancy;Loss due to inequality in education;Loss due to inequality in income;Inequality-adjusted education index;Inequality-adjusted life expectancy index;Inequality-adjusted income index;Inequality-adjusted HDI value;Female male-ratio with at least secondary education;Adolescent fertility rate;Female-male ratio in Labour force;Gender Inequality Index;female-male ratio in parliament;Maternal mortality ratio;POLPRIS;TORT;DOMMOV;SPEECH;NEW_RELFRE;WORKER;WECON;HDI
Romania;3,8;12;74;0,851;14,9;10,4;0,831;10794;11046;0,674;9,6;5;22,2;0,789;0,77;0,524;0,683;0,926;23,2;0,757;0,333;0,108;27;POLPRIS2;TORT0;DOMMOV2;SPEECH1;NEW_RELFRE1;WORKER1;WECON1;0,781
Cuba;9,9;6;79,1;0,933;17,5;9,9;0,876;;5416;0,572;5,4;;;;0,883;;;0,92;43,6;0,612;0,337;0,759;53;POLPRIS0;TORT0;DOMMOV0;SPEECH0;NEW_RELFRE1;WORKER0;WECON1;0,776
Seychelles;3,6;12;73,6;0,845;13,3;9,4;0,747;17786;16729;0,733;;;;;;;;;44,5;;;0,308;;POLPRIS1;TORT1;DOMMOV2;SPEECH0;NEW_RELFRE2;WORKER0;WECON2;0,773
Bahamas;3,7;12;75,6;0,877;12;8,5;0,671;;23029;0,779;10,9;7,9;24,5;0,618;0,782;0,588;0,658;;25,2;0,868;0,332;0,217;49;POLPRIS2;TORT1;DOMMOV2;SPEECH2;NEW_RELFRE1;WORKER1;WECON3;0,771
Montenegro;5,1;9;74,6;0,861;13,7;10,6;0,802;10022;10361;0,665;6,8;2,5;11,3;0,782;0,803;0,589;0,718;;11,8;;;0,125;15;POLPRIS2;TORT1;DOMMOV2;SPEECH1;NEW_RELFRE2;WORKER1;WECON1;0,771
Bulgaria;4,2;10;73,4;0,842;13,7;10,6;0,802;11456;11412;0,678;7,8;5,9;19,9;0,754;0,776;0,543;0,683;0,979;28,4;0,787;0,245;0,263;13;POLPRIS1;TORT1;DOMMOV2;SPEECH1;NEW_RELFRE1;WORKER1;WECON1;0,771
Saudi Arabia;2,7;21;73,9;0,85;13,7;7,8;0,689;21321;23274;0,781;11,5;;;;0,753;;;0,868;20;0,266;0,646;0,001;24;POLPRIS0;TORT0;DOMMOV0;SPEECH0;NEW_RELFRE0;WORKER0;WECON1;0,77
Mexico;2,7;17;77;0,898;13,9;8,5;0,726;12429;13245;0,7;10,9;21,9;35,6;0,567;0,801;0,451;0,589;0,901;61,1;0,537;0,448;0,342;85;POLPRIS1;TORT0;DOMMOV2;SPEECH1;NEW_RELFRE1;WORKER1;WECON1;0,77
Panama;4,3;23;76,1;0,885;13,2;9,4;0,743;11857;12335;0,69;12,4;17,8;40,5;0,611;0,776;0,41;0,579;1,046;70,3;0,6;0,492;0,092;71;POLPRIS2;TORT1;DOMMOV2;SPEECH1;NEW_RELFRE2;WORKER0;WECON2;0,768
Serbia;6,1;7;74,5;0,86;13,7;10,2;0,79;9967;10236;0,663;8,3;9,9;10,3;0,712;0,788;0,595;0,694;0,873;16,9;;;0,276;8;POLPRIS2;TORT1;DOMMOV2;SPEECH1;NEW_RELFRE1;WORKER1;WECON1;0,766
